srḳ.t,0x136EB 0x1391B 0x131AB 0x13DF2 0x13DF4 0x13DF5 0x13DF6 0x1428A
ꜥnḫ,0x13885 0x137AC 0x137ED 0x13C94 0x131AC 0x13DF9 0x14119 0x132F9 0x141C6 0x142FC
ꜥš,0x1362F 0x131AD 0x13E07 0x131EB
hbny,0x131AE
ꞽm=f,0x131AF
ḥn,0x131B0 0x13E58 0x1333C 0x133A8 0x1434E 0x1434D 0x1434C 0x1434F 0x14350 0x1434A 0x1434B
ḫt,0x131B1 0x13E13 0x13E11
m-ḫt,0x131B2
rnp.t,0x131B3 0x13E1A 0x13E1B 0x13E19 0x13E1E 0x13E1D 0x13E26 0x13EE4
tr,0x13E1C 0x131B4 0x13E1F 0x131B5 0x13E23 0x13E22 0x1423E 0x1423B 0x14240
rnp,0x131B6
šꜣ,0x131B7 0x13E31 0x13E2D 0x13E32 0x13E2F 0x13E35 0x13E2E 0x13E34
sšn,0x13A56 0x131B8 0x131F2 0x13F74
nḥb.t,0x13A32 0x13A34 0x131B9 0x13E40 0x141DD
wdn,0x131BA 0x131BB 0x13E59 0x13E5A 0x13E39
wꜣḏ,0x131C5 0x13E66 0x13E67 0x131C6 0x13FE4
mḥ.w,0x131C7 0x131C8 0x131CA 0x13E6A 0x13E7A 0x13E75 0x13E82 0x132D8 0x14157
ḥꜣ,0x131C9 0x13E73 0x13E79 0x13E80 0x13F15 0x13F1E
y,0x131CC 0x133ED
ꞽy(ꞽ),0x131CD
ꜥꜣb,0x131CE 0x13E86
sḫ.t,0x1391F 0x131CF 0x13E8A
sm,0x134A2 0x13577 0x131D0 0x13EBC
nḫb,0x13B0F 0x131D1 0x13E99 0x13E51 0x13E8E 0x13E4F
nn,0x134FA 0x131D2
n(.y)-sw.t,0x13686 0x13687 0x13688 0x13695 0x13844 0x13AEA 0x13B4D 0x13C73 0x131D3 0x13E9A
rsw/rsy,0x131D4 0x13E8F 0x13E93
tꜣ,0x13686 0x13687 0x13693 0x13694 0x13C5A 0x131D5 0x131FE 0x13EFD 0x13EFE 0x13EFF 0x13EFB 0x13EFC 0x131FF 0x13F02 0x1326B 0x13354 0x142D8 0x142D9
šmꜥ.w,0x13A80 0x131D6 0x131D7 0x13E98 0x131D8 0x131DA 0x13E70 0x13E7B 0x13E7D 0x13E7E 0x13E7C 0x13E78 0x13E90 0x13E92 0x13E95 0x132D3 0x14153 0x14299
mḏ-šmꜥ.w,0x131D9
nḏm,0x131DB
bnr/bnꞽ,0x131DC 0x13EA2 0x13EA1
srd,0x131DD 0x131DE 0x13E3C
ꞽt,0x13640 0x13484 0x13D5E 0x131E0 0x131E1 0x143BE 0x143BC 0x143BD
tbtb,0x131E2
bd.t,0x131E3 0x13EA6
ꜥḥꜥ,0x13D59 0x13D54 0x131E4 0x132A2 0x1408C 0x132A3 0x1408D 0x1408B
ḏr,0x131E5 0x13EA8 0x131E6 0x13EAF 0x13EAB 0x13EAC 0x13EA9
ḥmꜥ,0x131E7
snṯr,0x131E8 0x13212 0x13F1F 0x132B8 0x140F9
ꞽs,0x131E9 0x131EA 0x13EB4 0x13EB3 0x13EB5 0x13F96 0x13284
ꞽrp,0x136CA 0x131ED 0x13EB8 0x133C9 0x1438C 0x1438F
spd,0x131EE
p.t,0x138F6 0x138F5 0x138F8 0x138FD 0x13893 0x131EF
grḥ,0x131F0 0x131F1 0x13ECC 0x13ECB
ẖr.t-hrw,0x139CE 0x139CF 0x131F5
ꜣbd,0x131F9 0x13EF6 0x143C5
smd.t,0x13974 0x131FB 0x13EF5
sbꜣ,0x135FE 0x13905 0x131FC 0x13280 0x13F92 0x13F94
dwꜣ.t,0x13874 0x139EA 0x131FD
ꜣḫ.ty,0x137BF 0x137C6 0x137CC 0x13203
ꞽdb,0x13205 0x13206
dmꞽ,0x13207
spꜣ.t,0x13208 0x13F06 0x13F05 0x13F04 0x13416
ḫꜣs.t,0x135CA 0x13209 0x13F16
ḏw,0x1320B
ꜣḫ.t,0x1320C 0x14180
ḫꜥ,0x13630 0x1320D
ḳ,0x1320E
wꜣ.t,0x13210 0x13F2E 0x13F2D
sꞽn,0x13211
ꜥn.tyw,0x13213
ꞽḳḥ.w,0x13214 0x1330F
bꞽꜣ,0x13215 0x14206 0x13344 0x142A6 0x13F47
mw,0x13217
š,0x136CD 0x13A76 0x13E36 0x13219 0x1321A 0x13F3C 0x1321B 0x1321C 0x13F3E
šm,0x1321D 0x13F41
ḥm,0x1367D 0x1365F 0x1379A 0x137AF 0x138E0 0x13A0F 0x14354 0x13C87 0x13C88 0x1321E 0x1321F 0x13F44 0x13F45 0x1335B
ꞽnb-ḥḏ,0x13220
